Departamento,Municipio,IPS,NIT,Gerente,Caracter,Habilitada
Amazonas,LETICIA,E.S.E. HOSPITAL SAN RAFAEL DE LETICIA,838000096,JAIME YOANI GALLEGO TEJADA,DEPARTAMENTAL,SI
Amazonas,LETICIA,IPS INDÍGENA MALLAMAS,837000084,FABIO EDMUNDO ENRIQUEZ MIRANDA,NACIONAL,SI
Amazonas,LETICIA,SANIDAD AEROPORTUARIA LETICIA,899999059,GUSTAVO ALBERTO LENIS STEFFENS,MUNICIPAL,SI
Antioquia,ABEJORRAL,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,890980643,JAVIER ANTONIO CASTRILLON MENDOZA,MUNICIPAL,SI
Antioquia,ALEJANDRÍA,ESE HOSPITAL PBRO LUIS FELIPE ARBELAEZ,800029509,OSCAR DARÍO RESTREPO BRAVO,MUNICIPAL,SI
Antioquia,AMAGÁ,ESE HOSPITAL SAN FERNANDO,890906346,CLAUDIA PATRICIA MARIN ALZATE,MUNICIPAL,SI
Antioquia,AMALFI,E.S.E HOSPITAL EL CARMEN,890982101,MARTHA CECILIA DE FATIMA LONDOÑO GAVIRIA,MUNICIPAL,SI
Antioquia,ANDES,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,890980814,CARLOS ALBERTO ARROYAVE ZULUAGA,MUNICIPAL,SI
Antioquia,ANGELÓPOLIS,NUEVA EMPRESA SOCIAL DEL ESTADO HOSPITAL LA MISERICORDIA,890980959,JOSÉ DOMINGO JULIO PRETELT,MUNICIPAL,SI
Antioquia,ANGOSTURA,ESE HOSPITAL SAN RAFAEL,890982183,JAVIER ENRIQUE ARTEAGA JIMENEZ,MUNICIPAL,SI
Antioquia,ANORÍ,ESE HOSPITAL SAN JUAN DE DIOS DE ANORI,890982138,HUGO ALEXANDER MANCO GUZMAN,MUNICIPAL,SI
Antioquia,ANZA,ESE HOSPITAL SAN FRANCISCO DE ASIS,890397282,LUIS CARLOS VILLADA GOMEZ,MUNICIPAL,SI
Antioquia,ARBOLETES,ESE HOSPITAL PEDRO NEL CARDONA DE ARBOLETES,890982134,DAVID LOPEZ PUCHE,MUNICIPAL,SI
Antioquia,ARGELIA,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JULIAN,890981851,PLINIO RAFAEL RECUERO BOTETT,MUNICIPAL,SI
Antioquia,ARMENIA,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,890982153,JOSE IGNACIO FRANCISCO GUTIERREZ GÓMEZ,MUNICIPAL,SI
Antioquia,BARBOSA,ESE HOSPITAL SAN VICENTE DE PAUL,890905193,CARLOS ARTURO CERVANTES LOPEZ,MUNICIPAL,SI
Antioquia,BELLO,EMPRESA SOCIAL DEL ESTADO BELLO SALUD,800174995,JAVIER ALEJANDRO BEDOYA TORO,MUNICIPAL,SI
Antioquia,BELLO,ESE HOSPITAL MARCO FIDEL SUAREZ,890985703,YAN MARCILY ZULUAGA SUAREZ,DEPARTAMENTAL,SI
Antioquia,BELLO,ESE HOSPITAL MENTAL DE ANTIOQUIA,890905166,ELKIN DE JESUS CARDONA ORTIZ,DEPARTAMENTAL,SI
Antioquia,BELMIRA,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL ROSARIO,890982065,NATALIA ROSARIO GIL PULGARIN,MUNICIPAL,SI
Antioquia,BETANIA,ESE HOSPITAL SAN ANTONIO,890981494,JUAN CARLOS GUZMAN NOREÑA,MUNICIPAL,SI
Antioquia,BETULIA,E.S.E HOSPITAL GERMAN VELEZ GUTIERREZ,890982116,JORGE IVÁN CASTRO QUINTERO,MUNICIPAL,SI
Antioquia,BRICEÑO,EMPRESA SOCIAL DEL ESTADO HOSPITAL EL SAGRADO CORAZON,800044320,JOAQUIN ALBERTO ALVAREZ MONSALVE,MUNICIPAL,SI
Antioquia,BURITICÁ,ESE HOSPITAL SAN ANTONIO,890983843,PAULA ANDREA ÁNGEL HIGUITA,MUNICIPAL,SI
Antioquia,CÁCERES,EMPRESA SOCIAL DEL ESTADO HOSPITAL ISABEL LA CATOLICA,890982430,JACINTO MÁRQUEZ GONZÁLEZ,MUNICIPAL,SI
Antioquia,CAICEDO,E.S.E. HOSPITAL GUILLERMO GAVIRIA CORREA,800037244,CARLOS ANDRES LONDOÑO VELEZ,MUNICIPAL,SI
Antioquia,CALDAS,ESE HOSPITAL SAN VICENTE DE PAÚL,890907215,ROBINSON DARIO BUSTAMANTE RESTREPO,DEPARTAMENTAL,SI
