Departamento;Municipio;Código habilitacion;Nombre prestador;tido codigo;NIT;Razón social;clpr codigo;clpr nombre;ese;Direccion;telefono;fax;email;gerente;nivel;caracter;habilitado;fecha radicacion;fecha vencimiento;fecha cierre;dv;clase persona;naju codigo;naju nombre;numero sede principal;fecha corte REPS
Amazonas;LETICIA;9100100019;E.S.E. HOSPITAL SAN RAFAEL DE LETICIA;;838000096;E.S.E. HOSPITAL SAN RAFAEL DE LETICIA;1;Instituciones - IPS;SI;Carrera 10 NO. 13-78 Leticia (Amazonas);3203048903 - 3204650596;5927534 - 5927826;gerencia@esehospitalsanrafael-leticia-amazonas.gov.co;JAIME YOANI GALLEGO TEJADA;2;DEPARTAMENTAL;SI;20030409;20180130;;7;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Amazonas;LETICIA;9100100168;IPS INDÍGENA MALLAMAS;;837000084;ips indígena mallamás;1;Instituciones - IPS;NO;CRA 9 No. 9-67;5925324;5925324;leticiacontacto@ipsmallamas;FABIO EDMUNDO ENRIQUEZ MIRANDA;1;NACIONAL;SI;20171110;20211109;;5;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Amazonas;LETICIA;9100100022;SANIDAD AEROPORTUARIA LETICIA;;899999059;AEROPUERTO GUSTAVO ARTUNDUAGA PAREDES;4;Objeto Social Diferente a la Prestación de Servicios de Salud;NO;AEROPUERTO V. COBO;5927192;5928833;;GUSTAVO ALBERTO LENIS STEFFENS;;;SI;20030416;20180130;;3;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;ABEJORRAL;500204360;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL;;890980643;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL;1;Instituciones - IPS;SI;CL Circular X Kr Calibio;8647181;8648856;abejhs01@edatel.net.co;JAVIER ANTONIO CASTRILLON MENDOZA;1;MUNICIPAL;SI;20110725;20180725;;9;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;ALEJANDRÍA;502105098;ESE HOSPITAL PBRO LUIS FELIPE ARBELAEZ;;800029509;ESE HOSPITAL PBRO LUIS FELIPE ARBELAEZ;1;Instituciones - IPS;SI;KR 19 # 16 - 70;8660077;8660077;hospitalalejandria@gmail.com;OSCAR DARÍO RESTREPO BRAVO;1;MUNICIPAL;SI;20061117;20180130;;5;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;AMAGÁ;503004374;ESE HOSPITAL SAN FERNANDO;;890906346;ESE HOSPITAL SAN FERNANDO;1;Instituciones - IPS;SI;Cra 51 No 52 81;8472926;8471384;esehospitalamaga@hotmail.com;CLAUDIA PATRICIA MARIN ALZATE;1;MUNICIPAL;SI;20030415;20180130;;1;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;AMALFI;503102091;E.S.E HOSPITAL EL CARMEN;;890982101;E.S.E HOSPITAL EL CARMEN;1;Instituciones - IPS;SI;CL 23 # 23 - 40;5748300353;5748301803;hospitalamalfi@gmail.com;MARTHA CECILIA DE FATIMA LONDOÑO GAVIRIA;1;MUNICIPAL;SI;20061117;20180130;;8;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;ANDES;503404432;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL;;890980814;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL;1;Instituciones - IPS;SI;AV MEDELLIN NRO. 48-20;5748414343;5748414909;esehsrgerencia@gmail.com;CARLOS ALBERTO ARROYAVE ZULUAGA;1;MUNICIPAL;SI;20061017;20180130;;1;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;ANGELÓPOLIS;503605108;NUEVA EMPRESA SOCIAL DEL ESTADO HOSPITAL LA MISERICORDIA;;890980959;NUEVA EMPRESA SOCIAL DEL ESTADO HOSPITAL LA MISERICORDIA;1;Instituciones - IPS;SI;CL 8 # 7-108;5748421146;5748421029;eseangel@edatel.net.co;JOSÉ DOMINGO JULIO PRETELT;1;MUNICIPAL;SI;20061117;20180130;;0;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;ANGOSTURA;503801538;ESE HOSPITAL SAN RAFAEL;;890982183;E.S.E. HOSPITAL SAN RAFAEL DE ANGOSTURA;1;Instituciones - IPS;SI;KRA10 # 16 - 1;5748645099, 8645319;5748645312;angohs01@edatel.net.co;JAVIER ENRIQUE ARTEAGA JIMENEZ;1;MUNICIPAL;SI;20030410;20180130;;1;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;ANORÍ;504003261;ESE HOSPITAL SAN JUAN DE DIOS DE ANORI;;890982138;ESE HOSPITAL SAN JUAN DE DIOS DE ANORI;1;Instituciones - IPS;SI;CL ZEA;5748350803;5748350749;anorhs01@edatel.net.co;HUGO ALEXANDER MANCO GUZMAN;1;MUNICIPAL;SI;20070831;20180130;;1;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;ANZA;504405014;ESE HOSPITAL SAN FRANCISCO DE ASIS;;890397282;E.S.E. HOSPITAL SAN FRANCISCO DE ASIS;1;Instituciones - IPS;SI;KR 8 # 7-29;8522029;8522029;hospitalanza@hospitalanza.gov.co;LUIS CARLOS VILLADA GOMEZ;1;MUNICIPAL;SI;20030414;20180130;;3;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;ARBOLETES;505102323;ESE HOSPITAL PEDRO NEL CARDONA DE ARBOLETES;;890982134;E.S.E. HOSPITAL PEDRO NEL CARMONA;1;Instituciones - IPS;SI;BARRIO EL DEPORTIVO;948200026;8200026;arbohs01@edatel.net.co;DAVID LOPEZ PUCHE;1;MUNICIPAL;SI;20030416;20180130;;0;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;ARGELIA;505505479;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JULIAN;;890981851;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JULIAN;1;Instituciones - IPS;SI;CL 31 # 32 -14;8650042;8650042;argeh01@edatel.net.co;PLINIO RAFAEL RECUERO BOTETT;1;MUNICIPAL;SI;20110509;20180509;;9;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;ARMENIA;505905506;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES;;890982153;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES;1;Instituciones - IPS;SI;CL 11 # 6-69;5748559099;5748559264;armehs01@edatel.netco;JOSE IGNACIO FRANCISCO GUTIERREZ GÓMEZ;1;MUNICIPAL;SI;20061114;20180130;;0;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;BARBOSA;507904077;ESE HOSPITAL SAN VICENTE DE PAUL;;890905193;ESE HOSPITAL SAN VICENTE DE PAUL;1;Instituciones - IPS;SI;KR 17 # 10 - 34;5744061341;5744060996;esebarbosa@une.net.co;CARLOS ARTURO CERVANTES LOPEZ;1;MUNICIPAL;SI;20061117;20190130;;7;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;BELLO;508804909;EMPRESA SOCIAL DEL ESTADO BELLO SALUD;;800174995;EMPRESA SOCIAL DEL ESTADO BELLO SALUD;1;Instituciones - IPS;SI;CL 54 N. 56 A 11;4482030;4482030;gestiondocumental@esebellosalud.gov.co;JAVIER ALEJANDRO BEDOYA TORO;1;MUNICIPAL;SI;20030414;20190130;;1;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;BELLO;508805618;ESE HOSPITAL MARCO FIDEL SUAREZ;;890985703;E.S.E. HOSPITAL MARCO FIDEL SUAREZ;1;Instituciones - IPS;SI;CL 44 # 49B-90;4547510;4512241;gerencia@hmfs.com.co;YAN MARCILY ZULUAGA SUAREZ;2;DEPARTAMENTAL;SI;20030415;20180130;;5;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;BELLO;508804734;ESE HOSPITAL MENTAL DE ANTIOQUIA;;890905166;E.S.E. HOSPITAL MENTAL DE ANTIOQUIA;1;Instituciones - IPS;SI;CALLE 38 No 55-310 BARRIO SANTA ANA;4448330;4527479;elkincardona@homo.gov.co;ELKIN DE JESUS CARDONA ORTIZ;2;DEPARTAMENTAL;SI;20030411;20180130;;8;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;BELMIRA;508605507;EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL ROSARIO;;890982065;EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL ROSARIO;1;Instituciones - IPS;SI;KR 19# 19 93;5748674147;5748674119;gerencia@esehospital-belmira-antioquia.gov.co;NATALIA ROSARIO GIL PULGARIN;1;MUNICIPAL;SI;20061114;20190130;;0;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;BETANIA;509104572;ESE HOSPITAL SAN ANTONIO;;890981494;E.S.E. HOSPITAL SAN ANTONIO DE BETANIA;1;Instituciones - IPS;SI;CALLE 20 No. 26 -173;548435050;8435050;betahs01@gmail.com;JUAN CARLOS GUZMAN NOREÑA;1;MUNICIPAL;SI;20030412;20180130;;2;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;BETULIA;509302371;E.S.E HOSPITAL GERMAN VELEZ GUTIERREZ;;890982116;E.S.E HOSPITAL GERMAN VELEZ GUTIERREZ;1;Instituciones - IPS;SI;CL 21 # 15 - 20 SALIDA A MEDELLIN;8436085;8436237;esebetulia@gmail.com;JORGE IVÁN CASTRO QUINTERO;1;MUNICIPAL;SI;20061116;20180130;;8;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;BRICEÑO;510702311;EMPRESA SOCIAL DEL ESTADO HOSPITAL EL SAGRADO CORAZON;;800044320;EMPRESA SOCIAL DEL ESTADO HOSPITAL EL SAGRADO CORAZON;1;Instituciones - IPS;SI;CL 11 # 8 - 31;8570099;8570099;brichs01@edatel.net.co;JOAQUIN ALBERTO ALVAREZ MONSALVE;1;MUNICIPAL;SI;20120123;20180130;;3;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;BURITICÁ;511305596;ESE HOSPITAL SAN ANTONIO;;890983843;ESE HOSPITAL SAN ANTONIO;1;Instituciones - IPS;SI;Calle 8 Nro. 3-56;948527035;;burihs01@edatel.net.co;PAULA ANDREA ÁNGEL HIGUITA;1;MUNICIPAL;SI;20030415;20180130;;9;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
