CÓDIGO,NOMBRE,NIT,RAZÓN SOCIAL,NIVEL DE ATENCIÓN,GERENTE,DIRECCION,BARRIO,MUNICIPIO,DEPARTAMENTO,TELEFONO,E-MAIL EMPRESARIAL,E-MAIL 2 EMPRESARIAL,NOMBRE DEL REPRESENTANTE LEGAL,E-MAIL REPRESENTANTE LEGAL,E-MAIL REPRESENTANTE LEGAL,TELEFONO REPRESENTANTE LEGAL,NOMBRE PERSONA ENCARGADA DE TECNOLOGIA,EMAIL PERSONA ENCARGADA DE TECNOLOGIA,TELEFONO PERSONA ENCARGADA DE TECNOLOGIA
500204360,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,,,,,,,ABEJORRAL,Antioquia,,,,,,,,,,
500405478,ESE HOSPITAL SAN JUAN DE DIOS DE ABRIAQUI,,,,,,,ABRIAQUÍ,Antioquia,,,,,,,,,,
503004374,ESE HOSPITAL SAN FERNANDO,,,,,,,AMAGÁ,Antioquia,,,,,,,,,,
503102091,E.S.E HOSPITAL EL CARMEN,,,,,,,AMALFI,Antioquia,,,,,,,,,,
503605108,NUEVA EMPRESA SOCIAL DEL ESTADO HOSPITAL LA MISERICORDIA,,,,,,,ANGELÓPOLIS,Antioquia,,,,,,,,,,
503801538,E.S.E HOSPITAL SAN RAFAEL DE ANGOSTURA,,,,,,,ANGOSTURA,Antioquia,,,,,,,,,,
510702311,ESE HOSPITAL EL SAGRADO CORAZON,,,,,,,BRICEÑO,Antioquia,,,,,,,,,,
510702311,EMPRESA SOCIAL DEL ESTADO HOSPITAL EL SAGRADO CORAZON,,,,,,,BRICEÑO,Antioquia,,,,,,,,,,
514204103,E.S.E. HOSPITAL SAN PIO X,,,,,,,CARACOLÍ,Antioquia,,,,,,,,,,
514501585,E.S.E. HOSPITAL SAN ANTONIO,,,,,,,CARAMANTA,Antioquia,,,,,,,,,,
524003744,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,,,,,,,ANDES,Antioquia,,,,,,,,,,
525002133,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL CARMEN,,,,,,,EL BAGRE,Antioquia,,,,,,,,,,
536404768,E.S.E HOSPITAL GABRIEL PELÁEZ MONTOYA,,,,,,,JARDÍN,Antioquia,,,,,,,,,,
536404768,ESE HOSPITAL GABRIEL PELAEZ MONTOYA,,,,,,,JARDÍN,Antioquia,,,,,,,,,,
537605926,ESE HOSPITAL DE LA CEJA,,,,,,,LA CEJA,Antioquia,,,,,,,,,,
547505020,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN BARTOLOMÉ,,,,,,,MURINDÓ,Antioquia,,,,,,,,,,
550105569,E.S.E HOSPITAL SAN MIGUEL,,,,,,,OLAYA,Antioquia,,,,,,,,,,
550105569,E.S.E HOSPITAL SAN MIGUEL,,,,,,,OLAYA,Antioquia,,,,,,,,,,
557902201,ESE HOSPITAL CESAR URIBE PIEDRAHITA SEDE PUERTO BERRIO,,,,,,,PUERTO BERRÍO,Antioquia,,,,,,,,,,
563102206,ESE HOSPITAL VENANCIO DIAZ DIAZ,,,,,,,SABANETA,Antioquia,,,,,,,,,,
564702174,E.S.E HOSPITAL GUSTAVO GONZALEZ OCHOA,,,,,,,SAN ANDRÉS DE CUERQUÍA,Antioquia,,,,,,,,,,
566505514,ESE HOSPITAL OSCAR EMIRO VERGARA CRUZ,,,,,,,SAN PEDRO DE URABÁ,Antioquia,,,,,,,,,,
579005513,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO,,,,,,,CISNEROS,Antioquia,,,,,,,,,,
585404577,E.S.E HOSPITAL SAN JUAN DE DIOS DE VALDIVIA,,,,,,,VALDIVIA,Antioquia,,,,,,,,,,
587304363,E.S.E HOSPITAL ATRATO MEDIO ANTIOQUEÑO,,,,,,,VIGÍA DEL FUERTE,Antioquia,,,,,,,,,,
1100123118,CONSULTA EXTERNA- HOSPITAL CENTRAL POLICIA NACIONAL,,,,,,,BOGOTÁ,Bogotá D.C,,,,,,,,,,
1305200030,E.S.E. HOSPITAL LOCAL ARJONA,,,,,,,ARJONA,Bolívar,,,,,,,,,,
1343000492,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA DIVINA MISERICORDIA,,,,,,,MAGANGUÉ,Bolívar,,,,,,,,,,
1354900095,ESE HOSPITAL SAN NICOLAS DE TOLENTINO,,,,,,,PINILLOS,Bolívar,,,,,,,,,,
1366700158,ESE Hospital Local San Martin de Loba,,,,,,,SAN MARTÍN DE LOBA,Bolívar,,,,,,,,,,
1376000294,ESE CENTRO DE SALUD CON CAMA VITALIO SARA CASTILLO,,,,,,,SOPLAVIENTO,Bolívar,,,,,,,,,,
1523800664,EMPRESA SOCIAL DEL ESTADO HOSPITAL REGIONAL DE DUITAMA,,,,,,,DUITAMA,Boyacá,,,,,,,,,,
1566700804,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN FRANCISCO,,,,,,,SAN LUIS DE GACENO,Boyacá,,,,,,,,,,
1575300332,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO DE SOATA,,,,,,,SOATÁ,Boyacá,,,,,,,,,,
1580400271,ESE GUSTAVO ROMERO HERNADEZ DE TIBANA,,,,,,,TIBANÁ,Boyacá,,,,,,,,,,
1583200481,ESE CENTRO DE SALUD SANTA BARBARA DE TUNUNGUA,,,,,,,TUNUNGUÁ,Boyacá,,,,,,,,,,
1738000519,ESE HOSPITAL SAN FELIX,,,,,,,LA DORADA,Caldas,,,,,,,,,,
1738800511,ESE HOSPITAL LA MERCED,,,,,,,CIUDAD BOLÍVAR,Antioquia,,,,,,,,,,
1744400866,HOSPITAL DEPARTAMENTAL SAN CAYETANO DE MARQUETALIA EMPRESA SOCIAL DEL ESTADO E.S.E,,,,,,,MARQUETALIA,Caldas,,,,,,,,,,
1765300646,HOSPITAL DEPARTAMENTAL FELIPE SUAREZ ESE,,,,,,,SALAMINA,Caldas,,,,,,,,,,
1902200051,HOSPITAL NIVEL I DE ALMAGUER,,,,,,,ALMAGUER,Cauca,,,,,,,,,,
1939200023,HOSPITAL LA SIERRA,,,,,,,LA SIERRA,Cauca,,,,,,,,,,
1954800058,Cabildo Indígena de Guambia Hospital Mama Dominga Ips - I Subsede Piendamo,,,,,,,PIENDAMÓ,Cauca,,,,,,,,,,
1962200023,HOSPITAL ROSAS,,,,,,,ROSAS,Cauca,,,,,,,,,,
2017800568,Hospital Regional San Andres ESE,,,,,,,CHIRIGUANÁ,Cesar,,,,,,,,,,
2077000094,HOSPITAL LOCAL ALVARO RAMIREZ GONZALEZ E.S.E,,,,,,,SAN MARTÍN,Cesar,,,,,,,,,,
2318200520,ESE HOSPITAL SAN RAFAEL DE CHINU,,,,,,,CHINÚ,Córdoba,,,,,,,,,,
2341700750,E.S.E. HOSPITAL SAN VICENTE DE PAUL DE LORICA,,,,,,,LORICA,Córdoba,,,,,,,,,,
2341700750,E.S.E. HOSPITAL SAN VICENTE DE PAUL DE LORICA,,,,,,,LORICA,Córdoba,,,,,,,,,,
2355500638,E.S.E. HOSPITAL SAN NICOLAS,,,,,,,PLANETA RICA,Córdoba,,,,,,,,,,
2366000232,ESE HOSPITAL SAN JUAN DE SAHAGUN,,,,,,,SAHAGÚN,Córdoba,,,,,,,,,,
2505300023,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,,,,,,ARBELÁEZ,Cundinamarca,,,,,,,,,,
2512600353,ESE HOSPITAL PROFESOR JORGE CAVELIER -I- NIVEL DE ATENCION CAJICA SEDE 2,,,,,,,CAJICÁ,Cundinamarca,,,,,,,,,,
2517500020,E.S.E. HOSPITAL SAN ANTONIO DE CHIA - (251750002001),,,,,,,CHÍA,Cundinamarca,,,,,,,,,,
2517500020,E.S.E. HOSPITAL SAN ANTONIO CHIA,,,,,,,CHÍA,Cundinamarca,,,,,,,,,,
2529700035,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN FRANCISCO DE GACHETA,,,,,,,GACHETÁ,Cundinamarca,,,,,,,,,,
2543000021,E.S.E. HOSPITAL SANTA MATILDE DE MADRID,,,,,,,MADRID,Cundinamarca,,,,,,,,,,
4113200477,E.S.E. HOSPITAL DEL ROSARIO DE CAMPOALEGRE,,,,,,,CAMPOALEGRE,Huila,,,,,,,,,,
4113200477,ESE HOSPITAL DEL ROSARIO,,,,,,,CAMPOALEGRE,Huila,,,,,,,,,,
4166000658,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DE LAS MERCEDES DE SALADOBLANCO,,,,,,,SALADOBLANCO,Huila,,,,,,,,,,
4177000420,ESE HOSPITAL NUESTRA SEÑORA DE FATIMA DE SUAZA,,,,,,,SUAZA,Huila,,,,,,,,,,
4177000420,ESE HOSPITAL NUESTRA SEÑORA DE FATIMA DE SUAZA,,,,,,,SUAZA,Huila,,,,,,,,,,
4400100137,Emprea Social del Estado Hospital Nuestra Señora de los Remedios,,,,,,,RIOHACHA,La Guajira,,,,,,,,,,
4465000286,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,,,,,,,ANDES,Antioquia,,,,,,,,,,
4484700332,ESE HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,,,,,,,URIBIA,La Guajira,,,,,,,,,,
4728800091,E.S.E. HOSPITAL SAN RAFAEL,,,,,,,SAN VICENTE DEL CAGUÁN,Caquetá,,,,,,,,,,
4755500266,ESE HOSPITAL 7 DE AGOSTO,,,,,,,PLATO,Magdalena,,,,,,,,,,
5033000634,CENTRO DE ATENCION MESETAS,,,,,,,MESETAS,Meta,,,,,,,,,,
5068900457,EMPRESA LOCAL DEL ESTADO HOSPITAL LOCAL DE SAN MARTIN DE LOS LLANOS,,,,,,,SAN MARTÍN,Meta,,,,,,,,,,
5201901434,ESE CENTRO DE SALUD SAN JOSE,,,,,,,ALBÁN,Nariño,,,,,,,,,,
5232000371,CENTRO HOSPITAL DE GUAITARILLA E.S.E.,,,,,,,GUAITARILLA,Nariño,,,,,,,,,,
5235600356,HOSPITAL CIVIL DE IPIALES ESE,,,,,,,IPIALES,Nariño,,,,,,,,,,
5261201394,HOSPITAL RICAURTE EMPRESA SOCIAL DEL ESTADO,,,,,,,RICAURTE,Nariño,,,,,,,,,,
5267800613,ESE HOSPITAL LORENCITA VILLEGAS DE SANTOS,,,,,,,SAMANIEGO,Nariño,,,,,,,,,,
5412800641,EMPRESA SOCIAL DEL ESTADO HOSPITAL REGIONAL DE OCCIDENTE,,,,,,,CACHIRÁ,Norte de Santander,,,,,,,,,,
5431301021,E.S.E. HOSPITAL REGIONAL CENTRO,,,,,,,GRAMALOTE,Norte de Santander,,,,,,,,,,
6330200430,ESE HOSPITAL SAN VICENTE DE PAUL,,,,,,,BARBOSA,Antioquia,,,,,,,,,,
6668700808,E.S.E. HOSPITAL SAN VICENTE D PAUL,,,,,,,SANTUARIO,Risaralda,,,,,,,,,,
6802000785,ESE BLANCA ALICIA HERNANDEZ,,,,,,,ALBANIA,Santander,,,,,,,,,,
6807900705,ESE HOSPITAL SAN JUAN DE DIOS,,,,,,,SANTAFÉ DE ANTIOQUIA,Antioquia,,,,,,,,,,
6819000713,E.S.E HOSPITAL INTEGRADO SAN JUAN DE CIMITARRA,,,,,,,CIMITARRA,Santander,,,,,,,,,,
6820900769,ESE CENTRO DE SALUD SAN CAYETANO,,,,,,,CONFINES,Santander,,,,,,,,,,
6830700720,Clínica Giron ESE,,,,,,,GIRÓN,Santander,,,,,,,,,,
6852200043,ESE ANDRES CALA PIMENTEL,,,,,,,PALMAR,Santander,,,,,,,,,,
6886100795,E.S.E. HOSPITAL REGIONAL DE VELEZ,,,,,,,VÉLEZ,Santander,,,,,,,,,,
7070800331,ESE HOSPITAL REGIONNAL II NIVEL DE SAN MARCOS,,,,,,,SAN MARCOS,Sucre,,,,,,,,,,
7071700270,ESE CENTRO DE SALUD SAN PEDRO SUCRE,,,,,,,SAN PEDRO,Sucre,,,,,,,,,,
7300101047,HOSPITAL FEDERICO LLERAS ACOSTA E.S.E.,,,,,,,IBAGUÉ,Tolima,,,,,,,,,,
7312400743,EMPRESA SOCIAL DEL ESTADO HOSPITAL SANTA LUCIA DE CAJAMARCA,,,,,,,CAJAMARCA,Tolima,,,,,,,,,,
7315201042,HOSPITAL SANTO DOMINGO EMPRESA SOCIAL DEL ESTAQDO,,,,,,,CASABIANCA,Tolima,,,,,,,,,,
7327000880,EMPRESA SOCIAL DEL ESTADO HOSPITAL SANTA ANA NIVEL I DEL MUNICIPIO DE FALAN,,,,,,,FALAN,Tolima,,,,,,,,,,
7346100891,HOSPITAL RAMON MARIA ARANA ESE,,,,,,,MURILLO,Tolima,,,,,,,,,,
7355501031,HOSPITAL CENTRO E.S.E. DE PLANADAS,,,,,,,PLANADAS,Tolima,,,,,,,,,,
7367500705,HOSPITAL LA MISERICORDIA E.S.E,,,,,,,SAN ANTONIO,Tolima,,,,,,,,,,
7612202210,ESE HOSPITAL SANTANDER,,,,,,,CAICEDONIA,Valle del Cauca,,,,,,,,,,
7613003709,ESE - HOSPITAL LOCAL,,,,,,,CANDELARIA,Valle del Cauca,,,,,,,,,,
7624602104,ESE HOSPITAL SANTA CATALINA,,,,,,,EL CAIRO,Valle del Cauca,,,,,,,,,,
7625001649,HOSPITAL SANTA LUCIA ESE DE EL DOVIO VALLE,,,,,,,EL DOVIO,Valle del Cauca,,,,,,,,,,
7682803293,E.S.E HOSPITAL SANTA CRUZ,,,,,,,TRUJILLO,Valle del Cauca,,,,,,,,,,
7686301656,ESE HOSPITAL SAN NICOLAS,,,,,,,VERSALLES,Valle del Cauca,,,,,,,,,,
7689204073,HOSPITAL LA BUENA ESPERANZA ESE,,,,,,,YUMBO,Valle del Cauca,,,,,,,,,,
8173600067,HOSPITAL DEL SARARE ESE,,,,,,,SARAVENA,Arauca,,,,,,,,,,
8544000422,HOSPITAL LOCAL DE VILLANUEVA,,,,,,,VILLANUEVA,Casanare,,,,,,,,,,
9700100001,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO,,,,,,,CISNEROS,Antioquia,,,,,,,,,,
50010214401,"HOSPITAL GENERAL DE MEDELLÍN LUZ CASTRO DE GUTIERREZ, EMPRESA SOCIAL DEL ESTADO",,,,,,,MEDELLÍN,Antioquia,,,,,,,,,,
50880473401,E.S.E. HOSPITAL MENTAL DE ANTIOQUIA,,,,,,,BELLO,Antioquia,,,,,,,,,,
52660491001,E.S.E. HOSPITAL MANUEL URIBE ANGEL,,,,,,,ENVIGADO,Antioquia,,,,,,,,,,
53600433902,ESE HOSPITAL SAN RAFAEL DE ITAGUI,,,,,,,ITAGÜÍ,Antioquia,,,,,,,,,,
57890457901,E.S.E HOSPITAL SAN JUAN DE DIOS,,,,,,,EL PEÑOL,Antioquia,,,,,,,,,,
58190612301,E.S.E. HOSPITAL PEDRO CLAVER AGUIRRE YEPES,,,,,,,TOLEDO,Antioquia,,,,,,,,,,
