CÓDIGO,NOMBRE,NIT,RAZÓN SOCIAL,NIVEL DE ATENCIÓN,GERENTE,DIRECCION,BARRIO,MUNICIPIO,DEPARTAMENTO,TELEFONO,E-MAIL EMPRESARIAL,E-MAIL 2 EMPRESARIAL,NOMBRE DEL REPRESENTANTE LEGAL,E-MAIL REPRESENTANTE LEGAL,E-MAIL REPRESENTANTE LEGAL,TELEFONO REPRESENTANTE LEGAL,NOMBRE PERSONA ENCARGADA DE TECNOLOGIA,EMAIL PERSONA ENCARGADA DE TECNOLOGIA,TELEFONO PERSONA ENCARGADA DE TECNOLOGIA
520010145702,CENTRO DE SALUD PANDIACO,,,,,,,PASTO,Nariño,7313040,,,,,,,HENRY LUIS RODRIGUEZ,jsistemas@pastosaludese.gov.co,7313040
520010145703,CENTRO DE SALUD PRIMERO DE MAYO,,,,,,,PASTO,Nariño,7230026,,,,,,,HENRY LUIS RODRIGUEZ,jsistemas@pastosaludese.gov.co,7230026
520010145704,CENTRO DE SALUD BUESAQUILLO,,,,,,,PASTO,Nariño,7201372,,,,,,,HENRY LUIS RODRIGUEZ,jsistemas@pastosaludese.gov.co,7201372
520010145705,CENTRO DE SALUD MORASURCO,,,,,,,PASTO,Nariño,7201372,,,,,,,HENRY LUIS RODRIGUEZ,jsistemas@pastosaludese.gov.co,7201372
520010145706,CENTRO DE SALUD LORENZO DE ALDANA CENTRO DE RED,,,,,,,PASTO,Nariño,7321764,,,,,,,HENRY LUIS RODRIGUEZ,jsistemas@pastosaludese.gov.co,7321764
520010145707,CENTRO DE SALUD EL ROSARIO,,,,,,,PASTO,Nariño,7325742,,,,,,,HENRY LUIS RODRIGUEZ,jsistemas@pastosaludese.gov.co,7325742
520010145708,CENTRO DE SALUD EL ENCANO,,,,,,,PASTO,Nariño,7218203,,,,,,,HENRY LUIS RODRIGUEZ,jsistemas@pastosaludese.gov.co,7218203
520010145709,CENTRO DE SALUD LA LAGUNA,,,,,,,PASTO,Nariño,7232942,,,,,,,HENRY LUIS RODRIGUEZ,jsistemas@pastosaludese.gov.co,7232942
520010145710,CENTRO DE SALUD CABRERA,,,,,,,PASTO,Nariño,7233343,,,,,,,HENRY LUIS RODRIGUEZ,jsistemas@pastosaludese.gov.co,7233343
520010145711,CENTRO DE SALUD ORAL MIS KIQUES,,,,,,,PASTO,Nariño,7201372,,,,,,,ARNULFO GUERRERO ,jsistemas@pastosaludese.gov.co,7201372
520010145712,CENTRO DE SALUD EL PROGRESO,,,,,,,PASTO,Nariño,7207199,,,,,,,HENRY LUIS RODRIGUEZ,jsistemas@pastosaludese.gov.co,7207199
520010145713,CENTRO DE SALUD CATAMBUCO,,,,,,,PASTO,Nariño,7217717,,,,,,,HENRY LUIS RODRIGUEZ,jsistemas@pastosaludese.gov.co,7217717
520010145714,CENTRO DE SALUD SANTA BARBARA,,,,,,,PASTO,Nariño,7201372,,,,,,,HENRY LUIS RODRIGUEZ,jsistemas@pastosaludese.gov.co,7201372
520010145715,CENTRO DE SALUD GUALMATAN,,,,,,,PASTO,Nariño,7201372,,,,,,,HENRY LUIS RODRIGUEZ,jsistemas@pastosaludese.gov.co,7201372
520010145717,CENTRO DE SALUD TAMASAGRA CENTRO DE RED,,,,,,,PASTO,Nariño,7223463,,,,,,,HENRY LUIS RODRIGUEZ,jsistemas@pastosaludese.gov.co,7223463
520010145718,CENTRO DE SALUD SAN VICENTE,,,,,,,PASTO,Nariño,7230132,,,,,,,HENRY LUIS RODRIGUEZ,jsistemas@pastosaludese.gov.co,7230132
520010145719,CENTRO DE SALUD GENOY,,,,,,,PASTO,Nariño,7232125,,,,,,,HENRY LUIS RODRIGUEZ,jsistemas@pastosaludese.gov.co,7232125
520010145720,CENTRO DE SALUD OBONUCO,,,,,,,PASTO,Nariño,7334295,,,,,,,HENRY LUIS RODRIGUEZ,jsistemas@pastosaludese.gov.co,7334295
520010145721,PUESTO DE SALUD VILLA MARIA,,,,,,,PASTO,Nariño,7334295,,,,,,,HENRY LUIS RODRIGUEZ,jsistemas@pastosaludese.gov.co,7334295
520010145722,PUESTO DE SALUD MAPACHICO,,,,,,,PASTO,Nariño,7313851,,,,,,,HENRY LUIS RODRIGUEZ,jsistemas@pastosaludese.gov.co,7313851
520010145723,HOSPITAL LA ROSA CENTRO DE RED,,,,,,,PASTO,Nariño,7207183,,,,,,,HENRY LUIS RODRIGUEZ,jsistemas@pastosaludese.gov.co,7207183
520010145724,PUESTO DE SALUD LA CALDERA,,,,,,,PASTO,Nariño,7313851,,,,,,,HENRY LUIS RODRIGUEZ,jsistemas@pastosaludese.gov.co,7313851
57560239402,CENTRO DE SALUD LA DANTA ,,,,,,,SONSÓN,Antioquia,3113899163,,,,,,,JORGE MONTOYA,sistemasesesonson@hotmail.com,3113899163
57560239403,CENTRO DE SALUD SAN MIGUEL ,,,,,,,SONSÓN,Antioquia,3113899163,,,,,,,JORGE MONTOYA,sistemasesesonson@hotmail.com,3113899163
448470033203,Puesto de salud Media Luna,,,,,,,URIBIA,La Guajira,3177175554,,,,,,,Juan Alai Uriel Curiel,atencionalcliente@esehnsps.gov.co,3177175554
