ID,Municipio,ID2,Departamento,lat,lon
5002,ABEJORRAL,5,Antioquia,5.75,-75.4166667
5004,ABRIAQUÍ,5,Antioquia,6.6666667,-76.0833333
50006,ACACÍAS,50,Meta,3.9166667,-73.8333333
27006,ACANDI,27,Chocó,8.3333333,-77.1666667
41006,ACEVEDO,41,Huila,1.75,-75.9166667
13006,ACHÍ,13,Bolívar,8.25,-74.5
41013,AGRADO,41,Huila,2.3333333,-75.75
25001,AGUA DE DIOS,25,Cundinamarca,4.4166667,-74.6666667
20011,AGUACHICA,20,Cesar,8.3333333,-73.5833333
68013,AGUADA,68,Santander,6.25,-73.4666667
17013,AGUADAS,17,Caldas,5.6333333,-75.4166667
85010,AGUAZUL,85,Casanare,5.1730556,-72.5547222
20013,AGUSTÍN CODAZZI,20,Cesar,9.9166667,-73.25
41016,AIPE,41,Huila,3.25,-75.3333333
18029,ALBANIA,18,Caquetá,1.3316667,-75.8822222
44035,ALBANIA,44,La Guajira,11.1597222,-72.5855556
68020,ALBANIA,68,Santander,5.8333333,-73.75
25019,ALBÁN,25,Cundinamarca,4.9166667,-74.45
52019,ALBÁN,52,Nariño,1.4744444,-77.0836111
76020,ALCALÁ,76,Valle del Cauca,4.6666667,-75.75
52022,ALDANA,52,Nariño,0.9166667,-77.6833333
5021,ALEJANDRÍA,5,Antioquia,6.3666667,-75.0833333
47030,ALGARROBO,47,Magdalena,10.1869444,-74.5752778
41020,ALGECIRAS,41,Huila,2.5833333,-75.25
19022,ALMAGUER,19,Cauca,1.9166667,-76.8333333
15022,ALMEIDA,15,Boyacá,4.9166667,-73.3333333
73024,ALPUJARRA,73,Tolima,3.4166667,-74.9166667
41026,ALTAMIRA,41,Huila,2.1666667,-75.8333333
27025,ALTO BAUDÓ (PIE DE PATO),27,Chocó,5.6666667,-77
13030,ALTOS DEL ROSARIO,13,Bolívar,8.7944444,-74.1658333
73026,ALVARADO,73,Tolima,4.5833333,-75
5030,AMAGÁ,5,Antioquia,6.05,-75.7
5031,AMALFI,5,Antioquia,7,-74.9166667
73030,AMBALEMA,73,Tolima,4.8333333,-74.8333333
25035,ANAPOIMA,25,Cundinamarca,4.6166667,-74.55
52036,ANCUYA,52,Nariño,1.25,-77.5
76036,ANDALUCÍA,76,Valle del Cauca,4.1741667,-76.1702778
5034,ANDES,5,Antioquia,5.5833333,-75.9166667
5036,ANGELÓPOLIS,5,Antioquia,6.1333333,-75.7
5038,ANGOSTURA,5,Antioquia,6.8666667,-75.3333333
25040,ANOLAIMA,25,Cundinamarca,4.8333333,-74.5
5040,ANORÍ,5,Antioquia,7.1666667,-75.0833333
17042,ANSERMA,17,Caldas,5.25,-75.75
76041,ANSERMANUEVO,76,Valle del Cauca,4.7972222,-76
73043,ANZOÁTEGUI,73,Tolima,4.6666667,-75.25
5044,ANZA,5,Antioquia,6.3333333,-75.9166667
5045,APARTADO,5,Antioquia,7.8855556,-76.6347222
25599,APULO,25,Cundinamarca,4.5833333,-74.5833333
66045,APÍA,66,Risaralda,5.1666667,-76
15047,AQUITANIA,15,Boyacá,5.5197222,-72.8875
47053,ARACATACA,47,Magdalena,10.5833333,-74
17050,ARANZAZU,17,Caldas,5.3,-75.45
68051,ARATOCA,68,Santander,6.8333333,-72.9666667
81001,ARAUCA,81,Arauca,7.0902778,-70.7616667
81065,ARAUQUITA,81,Arauca,6.8219444,-71.3236111
25053,ARBELÁEZ,25,Cundinamarca,4.3,-74.5833333
52051,ARBOLEDA (BERRUECOS),52,Nariño,1.5033333,-77.0877778
54051,ARBOLEDAS,54,Norte de Santander,7.6666667,-72.75
5051,ARBOLETES,5,Antioquia,8.5,-76.4166667
15051,ARCABUCO,15,Boyacá,5.8,-73.3833333
13042,ARENAL,13,Bolívar,8.4666667,-73.95
5055,ARGELIA,5,Antioquia,5.7341667,-75.1463889
19050,ARGELIA,19,Cauca,2.2666667,-77.25
76054,ARGELIA,76,Valle del Cauca,4.7,-76.1333333
47058,ARIGUANÍ,47,Magdalena,10.25,-74
13052,ARJONA,13,Bolívar,10.1666667,-75.3333333
5059,ARMENIA,5,Antioquia,6.1666667,-75.8333333
63001,ARMENIA,63,Quindío,4.5338889,-75.6811111
73055,ARMERO (GUAYABAL),73,Tolima,5.0833333,-74.8333333
13062,ARROYOHONDO,13,Bolívar,10.2497222,-75.0113889
20032,ASTREA,20,Cesar,9.5011111,-73.9802778
73067,ATACO,73,Tolima,3.3333333,-75.6666667
27050,EL CARMEN DE ATRATO,27,Chocó,5.5333333,-76.6333333
23068,AYAPEL,23,Córdoba,8.25,-75.25
27073,BAGADÓ,27,Chocó,5.5,-76.25
27075,BAHÍA SOLANO (MÚTIS),27,Chocó,6.2191667,-77.4077778
27077,BAJO BAUDÓ (PIZARRO),27,Chocó,5,-77.0833333
19075,BALBOA,19,Cauca,2.1,-77.2
66075,BALBOA,66,Risaralda,4.9166667,-75.95
8078,BARANOA,8,Atlántico,10.8,-74.9166667
41078,BARAYA,41,Huila,3.1666667,-75
52079,BARBACOAS,52,Nariño,1.5833333,-78
5079,BARBOSA,5,Antioquia,6.45,-75.3333333
68077,BARBOSA,68,Santander,6,-73.55
68079,BARICHARA,68,Santander,6.75,-73.1666667
50110,BARRANCA DE UPÍA,50,Meta,4.5755556,-72.9611111
68081,BARRANCABERMEJA,68,Santander,7.0652778,-73.8547222
44078,BARRANCAS,44,La Guajira,11,-72.75
13074,BARRANCO DE LOBA,13,Bolívar,8.8333333,-74.1666667
8001,BARRANQUILLA,8,Atlántico,10.9638889,-74.7963889
20045,BECERRIL,20,Cesar,9.7,-73.2847222
17088,BELALCÁZAR,17,Caldas,5,-75.8333333
